artist,track,track_id,flag
"Blood, Sweat & Tears",Morning Glory,5hjRILhaVvc5ig1LRPCDTL,2
"Blood, Sweat & Tears",My Days Are Numbered,7czKJTL04SFhBcR3zq4KID,4
"Blood, Sweat & Tears",Overture,6YB13JoI4jlygmf3lD6KJe,3
Blue Öyster Cult,7 Screaming Diz-Busters,3NSuvfVI6lCAwjwB8zDSG5,4
Blue Öyster Cult,Astronomy,2g02rt0UFudctbAnmJsm22,6
Blue Öyster Cult,"Before the Kiss, a Redcap",3GPUviLl2DY4YDsaUu6sMP,3
Blue Öyster Cult,Burnin' for You,3fkPMWQ6cBNBLuFcPyMS8s,0
Blue Öyster Cult,Cagey Cretins,2SDaN7bVRNzg1rrev8MR5p,2
Blue Öyster Cult,Career Of Evil - Live,57LgNVZchUyLBLPPkspp8J,2
Blue Öyster Cult,Career of Evil,1hNIb1XdqTfcanT6yr9l4k,3
Blue Öyster Cult,Dominance and Submission,4cOqjEZyN13voCKivT0ae2,2
Blue Öyster Cult,Flaming Telepaths,1SphwtRn4YYVffKnTWaugH,5
Blue Öyster Cult,Harvester of Eyes,6YDNwLKXsaHgn7SQzcOiJ3,2
Blue Öyster Cult,Hot Rails to Hell,2w5MuKgxcwhCCJcgcGHDh9,1
Blue Öyster Cult,I'm On the Lamb but I Ain't No Sheep,1G71UvXw5TFdGMQxkzFgdT,0
Blue Öyster Cult,ME 262,273lBFpxUCwisTpdnF9cVb,2
Blue Öyster Cult,O.D.'d On Life Itself,25bhZC815VKJyXBF15UVje,0
Blue Öyster Cult,Screams,2KsnSzoJlmfT44jFOqRP1E,2
Blue Öyster Cult,Stairway to the Stars,3VH9PB4maOkYsS1KKXDBb1,3
Blue Öyster Cult,Subhuman,0N897u5L9LpXEvCu6yhRIf,2
Blue Öyster Cult,The Red & the Black,1mKM34k8n1nLeMF1yt9EKS,3
Blue Öyster Cult,Veteran of the Psychic Wars,1bPUK3zBMK73QXmCLzqffn,2
Bob Dylan,On a Night Like This,0oID5GDN1VxgvIbeejuG1U,1
Bobby Timmons Trio,(I Don't Stand) A Ghost Of A Chance,13Fj4LVbGomopZnAjZ5gF8,0
Bobby Timmons Trio,A Little Busy,07qD4Tu7a1CQ63fFmV3BnU,5
Bobby Timmons Trio,Dat Dere (Theme),6PFR2aa6vZ6BIeRAEifQux,2
Bobby Timmons Trio,Easy Does It,25aN8wqsZCBUcSwIE1eIta,5
Bobby Timmons Trio,Groovin' High,4CWQs3vw8FTnQDWJ9K7ZMm,0
Bobby Timmons Trio,I Thought About You,2zDEvrze97wftaQCeRnF5I,5
Bobby Timmons Trio,If You Could See Me Now,7hKX2vjTtpZByhzNLuK2o7,5
Bobby Timmons Trio,Old Devil Moon,4F2ObmIWD0XdcPYmB5GgHt,5
Bobby Timmons Trio,Pretty Memory,3yapKC4L2MxlK5JahZlaUc,6
Bobby Timmons Trio,Samba Triste,15dePMdYIfBpUBnsElHAIg,1
Brad Mehldau,Sky Turning Grey (For Elliott Smith),1kubtQjYyZiAvOCrbQf7RP,1
